imagen,objeto_id,R,G,B,H,S,V,area,perimetro,Hu1,Hu2,Hu3,Hu4,Hu5,Hu6,Hu7,longitud_skel,terminaciones,bbox_ratio,extent,solidity
IMG_6287.png,0,38.36002604166666,105.52311197916669,95.15934244791669,52.109700520833336,94.9052734375,105.81966145833331,2912.5,298.8944425582886,0.388525631226715,0.1154769707052497,0.0078215011862127,0.0016683181643281,3.4204308650960683e-06,7.384584677679516e-05,4.9617593949535104e-06,117.0,3.0,2.9069767441860463,0.5668837209302325,0.8060846560846561
IMG_6288.png,0,31.145670572916668,92.8916015625,81.69514973958333,48.611165364583336,94.89274088541669,92.99202473958331,2788.0,302.4507908821106,0.400105108911256,0.1239418378100988,0.00841488707404,0.0015916634116511,2.493435593820453e-06,-1.3955621436410644e-05,5.264427370653052e-06,113.0,2.0,2.840909090909091,0.5312727272727272,0.791655377946356
IMG_6289.png,0,34.035835597826086,98.76341711956522,87.22537364130434,50.75730298913044,98.20516304347828,98.89249320652172,2771.5,306.6934317350388,0.4014881524104254,0.12451783298138,0.0086413293612677,0.001536970384613,1.8683624277081184e-06,-6.31221828446188e-05,5.280505599696508e-06,118.0,3.0,2.9761904761904763,0.5537142857142857,0.7852512155591572
IMG_6290.png,1,20.17736311983471,77.03486570247934,73.6926007231405,37.82980371900826,76.15857438016529,77.5028409090909,5014.5,356.4579336643219,0.3435055992366146,0.0909399097663371,0.0011543348100072,0.0003656278144828,2.130702834090039e-07,7.044474965043795e-05,-1.0499135027156757e-07,100.0,2.0,0.9747899159663864,0.373442480440452,0.9537465309898242
IMG_6291.png,0,19.978856646825395,78.62084573412699,74.72860863095238,35.42423115079365,73.80381944444444,78.8319072420635,5348.0,368.35742688179016,0.344557904301415,0.0917477071493543,0.0011155069299363,0.0003679408385607,2.147100379664397e-07,7.428788105806982e-05,-9.72894189743657e-08,102.0,2.0,1.008264462809917,0.3721040509416068,0.958304256803908
IMG_6292.png,2,19.16898544520548,25.703446061643834,31.38837756849315,22.5101669520548,23.675299657534246,31.41202910958904,1742.5,339.74725472927094,1.1269728345745065,1.203411630253897,0.1165546151056745,0.0938134846103893,0.0098098250673099,0.1028757162034383,2.4693256024705453e-05,125.0,3.0,0.5748031496062992,0.2033221874662927,0.6291722296395194
IMG_6293.png,3,54.46748991935484,72.27167338709677,85.86895161290323,45.06779233870968,41.33492943548387,85.87600806451613,1493.0,296.16652047634125,1.0786103395003757,1.0959564861976974,0.1441843263800099,0.1173878235470779,0.0152718981691929,0.122871531058486,-2.501635754754896e-05,108.0,2.0,4.266666666666667,0.4239583333333333,0.6310077519379845
IMG_6294.png,2,30.14314088983051,39.62950211864407,47.84878177966102,26.776085805084747,26.57057733050848,47.85037076271186,1631.0,312.73506224155426,1.037453426167256,1.0158383861374034,0.1706855673091978,0.1451455465129568,0.0228456518725149,0.146274651004674,-3.168848035098662e-05,107.0,2.0,0.4488188976377952,0.2439563475618179,0.6604338070306657
IMG_6295.png,1,40.09002130681818,50.76935369318182,60.11328125,32.62801846590909,28.056995738636363,60.115234375,795.0,119.39696872234344,0.1846362054725709,0.0078437569912343,5.621038416979726e-05,2.1350105491429523e-05,7.396192604353096e-10,1.8908537146817925e-06,5.081047515622143e-13,34.0,2.0,1.7037037037037035,0.6819645732689211,0.9453125
IMG_6296.png,0,62.371875,81.2140625,97.659375,52.2553125,48.12,97.67125,1377.0,292.0243855714798,1.1151315853890662,1.1799917384963847,0.1692005062497602,0.1430481563090314,0.0222546803457877,0.1552845244327402,8.084306472662959e-05,121.0,3.0,0.1984126984126984,0.48,0.6472602739726028
